"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","df","outcome","model","sample"
"25","(Intercept)",0.0180876883648414,0.00168976128749961,10.7042861608022,1.42482064362002e-26,0.0147753536163847,0.0214000231132981,8650,"n_crashes","I1","Virginia"
"26","mailer",0.00167302090817053,0.00366270994095912,0.456771334650767,0.647846881113703,-0.00550676330200556,0.00885280511834662,8650,"n_crashes","I1","Virginia"
"27","(Intercept)",0.0180926633608836,0.00269972267761122,6.70167477234825,2.23616080750512e-11,0.0128003038846067,0.0233850228371604,6404,"n_crashes","J1","Virginia"
"28","assignmentMailer",-0.00130346416196766,0.00565318492709807,-0.230571647447727,0.817654961269077,-0.0123855975485516,0.00977866922461625,6404,"n_crashes","J1","Virginia"
"29","assignmentText",0.00321572097808475,0.00464185054490986,0.692767021896264,0.488480891586329,-0.00588385873895177,0.0123153006951213,6404,"n_crashes","J1","Virginia"
"30","assignmentBoth",0.000603333401272644,0.0045589649947759,0.13233999426712,0.894719532360771,-0.0083337629131775,0.00954042971572279,6404,"n_crashes","J1","Virginia"
"31","(Intercept)",0.0200684549769197,0.00266959803972039,7.51740699473307,5.99311943170606e-14,0.0148355999316608,0.0253013100221786,11750,"riskiest_citations_3mo","K1","Virginia"
"32","any",-0.00142249983323597,0.00437593564320172,-0.325073298426113,0.745131384798287,-0.0100000596634248,0.00715505999695286,11750,"riskiest_citations_3mo","K1","Virginia"
"33","(Intercept)",0.544996015303229,0.0225166043453443,24.2041831416697,2.41849418697935e-126,0.500859735272481,0.589132295333976,11750,"num_citations_3mo","L1","Virginia"
"34","any",-0.0180374726577141,0.0340085458343498,-0.530380591559891,0.595858102651047,-0.0846998645247071,0.0486249192092788,11750,"num_citations_3mo","L1","Virginia"
"35","(Intercept)",0.0593651855666734,0.00699570076927841,8.48595266215149,2.39535616744799e-17,0.045652451469268,0.0730779196640787,11750,"riskiest_citations_12mo","M1","Virginia"
"36","any",-0.00835379145946157,0.0100800097963571,-0.828748347296312,0.407263655712129,-0.0281122829380706,0.0114047000191474,11750,"riskiest_citations_12mo","M1","Virginia"
"37","(Intercept)",1.83510579793796,0.0834225125188192,21.9977287009185,3.94397529157073e-105,1.67158383357212,1.9986277623038,11750,"num_citations_12mo","N1","Virginia"
"38","any",-0.0563058697323162,0.1098173878859,-0.512722719200152,0.608154933294683,-0.271566168738258,0.158954429273625,11750,"num_citations_12mo","N1","Virginia"
"39","(Intercept)",0.0180296026125039,0.00168290880905306,10.7133568470943,1.1695982809388e-26,0.0147308222093353,0.0213283830156725,11752,"n_crashes","O1","Virginia"
"40","any",0.00197181879253986,0.00265546471522848,0.742551306079096,0.457768220007632,-0.00323333250073213,0.00717697008581185,11752,"n_crashes","O1","Virginia"
