"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","df","outcome","model","sample"
"29","assignmentText",0.000233920419061729,0.00223837644712315,0.104504503414684,0.916769730981803,-0.00415340336819507,0.00462124420631853,28463,"n_crashes","J1","Maryland"
"30","assignmentBoth",-0.00209291503600165,0.00221388628446958,-0.945357966524051,0.344484178800738,-0.00643223694524462,0.00224640687324133,28463,"n_crashes","J1","Maryland"
"31","(Intercept)",0.0251086193538509,0.0015271454699143,16.4415373967353,1.48842926229633e-60,0.0221153834417845,0.0281018552659172,42229,"riskiest_citations_3mo","K1","Maryland"
"32","any",0.000820330173472828,0.00240479173646387,0.341123167147556,0.733012558383492,-0.00389311011655275,0.00553377046349841,42229,"riskiest_citations_3mo","K1","Maryland"
"33","(Intercept)",0.6365607730927,0.0120149285844467,52.9808203701459,0,0.613011270816472,0.660110275368929,42229,"num_citations_3mo","L1","Maryland"
"34","any",0.00231886481707272,0.018312515822899,0.126627320871613,0.899235974938457,-0.0335740354214756,0.0382117650556211,42229,"num_citations_3mo","L1","Maryland"
"35","(Intercept)",0.0848807207909464,0.004132781591164,20.5383998448947,2.79670469474063e-93,0.0767803855451541,0.0929810560367387,42229,"riskiest_citations_12mo","M1","Maryland"
"36","any",-0.000725063098283341,0.0060989933599794,-0.118882421325638,0.905369074209545,-0.012679213054652,0.0112290868580853,42229,"riskiest_citations_12mo","M1","Maryland"
"37","(Intercept)",2.3427211220595,0.0398172363182826,58.8368590761234,0,2.26467853606158,2.42076370805741,42229,"num_citations_12mo","N1","Maryland"
"38","any",-0.0179292729272697,0.0601075333052222,-0.298286619685856,0.765485883249161,-0.135741250122221,0.0998827042676814,42229,"num_citations_12mo","N1","Maryland"
"39","(Intercept)",0.0205086352859048,0.000998927452692672,20.5306553850557,3.27468168035345e-93,0.0185507173404338,0.0224665532313758,42231,"n_crashes","O1","Maryland"
"40","any",-0.00102442949620117,0.00142315502674663,-0.7198298688113,0.471633735785252,-0.00381384203916763,0.0017649830467653,42231,"n_crashes","O1","Maryland"
