"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","df","outcome","model","sample"
"16","mailer",-0.0756327811610915,0.0746625209297249,-1.01299527821033,0.311074901209958,-0.221977656176928,0.0707120938547455,19631,"num_citations_12mo","F1","Medium risk"
"17","(Intercept)",0.0624501975427252,0.00465592463594561,13.4130602245115,7.67153233226148e-41,0.0533241904429237,0.0715762046425266,19637,"riskiest_citations_12mo","G1","Medium risk"
"18","assignmentMailer",0.00569906803064161,0.0109560191495906,0.52017689571623,0.602946151172043,-0.0157756585516579,0.0271737946129411,19637,"riskiest_citations_12mo","G1","Medium risk"
"19","assignmentText",-0.00166608551284272,0.00699250618686539,-0.238267291914917,0.811676274259128,-0.0153719905900151,0.0120398195643297,19637,"riskiest_citations_12mo","G1","Medium risk"
"20","assignmentBoth",0.0115877011419723,0.00906014469769124,1.27897528445933,0.200920872998096,-0.00617095074814056,0.0293463530320852,19637,"riskiest_citations_12mo","G1","Medium risk"
"21","(Intercept)",2.23603004344525,0.0493852668255966,45.2772696630709,0,2.13923073269256,2.33282935419793,19637,"num_citations_12mo","H1","Medium risk"
"22","assignmentMailer",0.0791157047551997,0.116082084464717,0.681549656176676,0.495531795344821,-0.148415024330496,0.306646433840896,19637,"num_citations_12mo","H1","Medium risk"
"23","assignmentText",-0.0794800251559893,0.0756209477241482,-1.05103185754718,0.293256892209397,-0.227703495204518,0.0687434448925393,19637,"num_citations_12mo","H1","Medium risk"
"24","assignmentBoth",-0.0355460701219422,0.0822065249184155,-0.432399619826033,0.665455742556891,-0.196677829915364,0.12558568967148,19637,"num_citations_12mo","H1","Medium risk"
"25","(Intercept)",0.0260971113950012,0.00137817180549832,18.9360363424101,2.9288898188364e-79,0.0233957777390449,0.0287984450509574,19631,"n_crashes","I1","Medium risk"
"26","mailer",1.99310984405418e-06,0.00282194291667227,0.000706289922549008,0.999436469398788,-0.00552925440630851,0.00553324062599662,19631,"n_crashes","I1","Medium risk"
"27","(Intercept)",0.0262834737050484,0.00189533274140073,13.8674719910257,1.59987583355757e-43,0.0225684608113751,0.0299984865987217,19637,"n_crashes","J1","Medium risk"
"28","assignmentMailer",0.00105526210789934,0.00396819481427082,0.265930015357184,0.790295900057004,-0.00672273622326906,0.00883326043906773,19637,"n_crashes","J1","Medium risk"
"29","assignmentText",-0.00229782332470046,0.00302756419601252,-0.758967663749896,0.447881010256153,-0.00823210588043676,0.00363645923103584,19637,"n_crashes","J1","Medium risk"
"30","assignmentBoth",-0.000621912452426727,0.00305812914459611,-0.203363698202766,0.838852878701311,-0.00661610489923502,0.00537227999438157,19637,"n_crashes","J1","Medium risk"
"31","(Intercept)",0.0174169616279447,0.00129042829823524,13.4970394339335,2.16823247554211e-41,0.0148876635814311,0.0199462596744582,29140,"riskiest_citations_3mo","K1","Medium risk"
"32","any",0.000802325361257007,0.00219485484183345,0.365548256752503,0.714704844932646,-0.00349968976924048,0.00510434049175449,29140,"riskiest_citations_3mo","K1","Medium risk"
"33","(Intercept)",0.570285984785098,0.0115356912000966,49.4366548907205,0,0.547675506343568,0.592896463226627,29140,"num_citations_3mo","L1","Medium risk"
"34","any",-0.0270342988725937,0.0167090238256616,-1.61794603650481,0.105685050946934,-0.0597847441156117,0.00571614637042434,29140,"num_citations_3mo","L1","Medium risk"
"35","(Intercept)",0.063911423440731,0.00359224127115047,17.7915175002325,1.94078403109176e-70,0.0568704674711883,0.0709523794102737,29140,"riskiest_citations_12mo","M1","Medium risk"
"36","any",-0.000746810799871881,0.005155623432086,-0.144853635978165,0.884827435170912,-0.0108520667781916,0.0093584451784478,29140,"riskiest_citations_12mo","M1","Medium risk"
"37","(Intercept)",2.17527586444318,0.0373370436996892,58.2605275859398,0,2.10209356379047,2.24845816509589,29140,"num_citations_12mo","N1","Medium risk"
"38","any",-0.0990489072133865,0.052516683518385,-1.88604650136964,0.0592986245990983,-0.201983991025542,0.00388617659876847,29140,"num_citations_12mo","N1","Medium risk"
"39","(Intercept)",0.0262553111799247,0.00138988898551619,18.8902217756433,4.08112493663694e-79,0.023531065678859,0.0289795566809904,29142,"n_crashes","O1","Medium risk"
"40","any",-0.0011471202691856,0.00196174362702499,-0.584745250797742,0.55872354949766,-0.00499222682507529,0.00269798628670409,29142,"n_crashes","O1","Medium risk"
